WELCOME 1 1592320    RTT: 190661 ns
WELCOME 1 538624    RTT: 320006 ns
WELCOME 1 1216512    RTT: 438203 ns
WELCOME 1 1646592    RTT: 294218 ns
WELCOME 1 641024    RTT: 179276 ns
WELCOME 1 1152000    RTT: 183304 ns
WELCOME 1 1564672    RTT: 157477 ns
WELCOME 1 415744    RTT: 179089 ns
WELCOME 1 1765376    RTT: 169896 ns
WELCOME 1 1403904    RTT: 653178 ns
WELCOME 1 487424    RTT: 302253 ns
WELCOME 1 626688    RTT: 204570 ns
WELCOME 1 445440    RTT: 302578 ns
WELCOME 1 618496    RTT: 177456 ns
WELCOME 1 1862656    RTT: 292633 ns
WELCOME 1 1614848    RTT: 166213 ns
WELCOME 1 910336    RTT: 413526 ns
WELCOME 1 1846272    RTT: 221479 ns
WELCOME 1 1263616    RTT: 317980 ns
WELCOME 1 1316864    RTT: 985302 ns
WELCOME 1 670720    RTT: 185790 ns
WELCOME 1 2042880    RTT: 4120846 ns
WELCOME 1 932864    RTT: 192034 ns
WELCOME 1 1545216    RTT: 319431 ns
WELCOME 1 1257472    RTT: 308028 ns
WELCOME 1 712704    RTT: 178805 ns
WELCOME 1 625664    RTT: 189679 ns
WELCOME 1 1145856    RTT: 990419 ns
WELCOME 1 2030592    RTT: 298505 ns
WELCOME 1 1942528    RTT: 198341 ns
WELCOME 1 1272832    RTT: 688474 ns
WELCOME 1 765952    RTT: 944126 ns
WELCOME 1 688128    RTT: 335038 ns
WELCOME 1 847872    RTT: 2015048 ns
WELCOME 1 1295360    RTT: 1022486 ns
WELCOME 1 734208    RTT: 933275 ns
WELCOME 1 331776    RTT: 562907 ns
WELCOME 1 335872    RTT: 223333 ns
WELCOME 1 1526784    RTT: 1538141 ns
WELCOME 1 605184    RTT: 1207353 ns
WELCOME 1 943104    RTT: 765666 ns
WELCOME 1 990208    RTT: 737258 ns
WELCOME 1 359424    RTT: 6420005 ns
WELCOME 1 754688    RTT: 508728 ns
WELCOME 1 927744    RTT: 442721 ns
WELCOME 1 1054720    RTT: 2314487 ns
WELCOME 1 438272    RTT: 361455 ns
WELCOME 1 1358848    RTT: 194805 ns
WELCOME 1 2011136    RTT: 140235 ns
WELCOME 1 595968    RTT: 767021 ns
WELCOME 1 1786880    RTT: 295056 ns
WELCOME 1 847872    RTT: 186174 ns
WELCOME 1 1204224    RTT: 173194 ns
WELCOME 1 1552384    RTT: 588824 ns
WELCOME 1 1317888    RTT: 302507 ns
