WELCOME 1 1911808    RTT: 177362 ns
WELCOME 1 1818624    RTT: 181901 ns
WELCOME 1 704512    RTT: 5285157 ns
WELCOME 1 1257472    RTT: 1321827 ns
WELCOME 1 1625088    RTT: 307494 ns
WELCOME 1 1664000    RTT: 4328234 ns
WELCOME 1 2012160    RTT: 326898 ns
WELCOME 1 619520    RTT: 178456 ns
WELCOME 1 483328    RTT: 210526 ns
WELCOME 1 848896    RTT: 395378 ns
WELCOME 1 897024    RTT: 182389 ns
WELCOME 1 491520    RTT: 346017 ns
WELCOME 1 1567744    RTT: 433948 ns
WELCOME 1 1382400    RTT: 292852 ns
WELCOME 1 1793024    RTT: 178649 ns
WELCOME 1 1076224    RTT: 182552 ns
WELCOME 1 1795072    RTT: 175781 ns
WELCOME 1 1792000    RTT: 159239 ns
WELCOME 1 2043904    RTT: 191789 ns
WELCOME 1 439296    RTT: 322454 ns
WELCOME 1 1433600    RTT: 182950 ns
WELCOME 1 1413120    RTT: 193711 ns
WELCOME 1 471040    RTT: 177149 ns
WELCOME 1 1561600    RTT: 165639 ns
WELCOME 1 1577984    RTT: 159344 ns
WELCOME 1 1052672    RTT: 178959 ns
WELCOME 1 1518592    RTT: 120964 ns
WELCOME 1 716800    RTT: 228009 ns
WELCOME 1 1467392    RTT: 192838 ns
WELCOME 1 1335296    RTT: 119775 ns
WELCOME 1 1394688    RTT: 180889 ns
WELCOME 1 390144    RTT: 4081837 ns
WELCOME 1 623616    RTT: 261509 ns
WELCOME 1 839680    RTT: 649551 ns
WELCOME 1 480256    RTT: 306451 ns
WELCOME 1 766976    RTT: 197154 ns
WELCOME 1 1501184    RTT: 374711 ns
WELCOME 1 2048000    RTT: 416256 ns
WELCOME 1 1619968    RTT: 297479 ns
WELCOME 1 827392    RTT: 421991 ns
WELCOME 1 1988608    RTT: 677726 ns
WELCOME 1 512000    RTT: 889635 ns
WELCOME 1 1885184    RTT: 201627 ns
WELCOME 1 1064960    RTT: 187557 ns
WELCOME 1 1934336    RTT: 2308240 ns
WELCOME 1 921600    RTT: 380644 ns
WELCOME 1 534528    RTT: 590743 ns
WELCOME 1 1681408    RTT: 195535 ns
WELCOME 1 1950720    RTT: 1162364 ns
WELCOME 1 1148928    RTT: 1947233 ns
WELCOME 1 397312    RTT: 2115382 ns
WELCOME 1 1230848    RTT: 793427 ns
WELCOME 1 1200128    RTT: 6636554 ns
WELCOME 1 332800    RTT: 1113653 ns
WELCOME 1 782336    RTT: 2265142 ns
WELCOME 1 457728    RTT: 301091 ns
WELCOME 1 773120    RTT: 170577 ns
WELCOME 1 1543168    RTT: 310718 ns
WELCOME 1 1253376    RTT: 298005 ns
WELCOME 1 788480    RTT: 132984 ns
WELCOME 1 1197056    RTT: 769206 ns
WELCOME 1 1898496    RTT: 284793 ns
WELCOME 1 1310720    RTT: 151298 ns
WELCOME 1 1978368    RTT: 648185 ns
WELCOME 1 549888    RTT: 300918 ns
WELCOME 1 854016    RTT: 170565 ns
WELCOME 1 1041408    RTT: 334661 ns
WELCOME 1 1801216    RTT: 303506 ns
WELCOME 1 1221632    RTT: 156642 ns
WELCOME 1 985088    RTT: 310351 ns
WELCOME 1 1927168    RTT: 280540 ns
WELCOME 1 1436672    RTT: 157072 ns
WELCOME 1 1364992    RTT: 323163 ns
WELCOME 1 915456    RTT: 286834 ns
WELCOME 1 1417216    RTT: 160053 ns
WELCOME 1 824320    RTT: 174903 ns
WELCOME 1 1454080    RTT: 301400 ns
WELCOME 1 1714176    RTT: 281843 ns
WELCOME 1 923648    RTT: 178471 ns
WELCOME 1 1827840    RTT: 288697 ns
WELCOME 1 488448    RTT: 279218 ns
WELCOME 1 1654784    RTT: 174791 ns
WELCOME 1 1789952    RTT: 295116 ns
WELCOME 1 1632256    RTT: 292670 ns
WELCOME 1 896000    RTT: 299813 ns
WELCOME 1 1715200    RTT: 588544 ns
WELCOME 1 802816    RTT: 166359 ns
WELCOME 1 768000    RTT: 310124 ns
WELCOME 1 1500160    RTT: 167084 ns
WELCOME 1 921600    RTT: 1853869 ns
WELCOME 1 1067008    RTT: 151030 ns
WELCOME 1 477184    RTT: 149331 ns
WELCOME 1 1228800    RTT: 171017 ns
WELCOME 1 823296    RTT: 179479 ns
WELCOME 1 1030144    RTT: 209411 ns
WELCOME 1 547840    RTT: 179920 ns
