WELCOME 1 1673216    RTT: 682190 ns
WELCOME 1 771072    RTT: 744886 ns
WELCOME 1 941056    RTT: 1352514 ns
WELCOME 1 1491968    RTT: 1085119 ns
WELCOME 1 572416    RTT: 2973440 ns
WELCOME 1 1392640    RTT: 2240011 ns
WELCOME 1 620544    RTT: 2221976 ns
WELCOME 1 887808    RTT: 9987127 ns
WELCOME 1 352256    RTT: 2817731 ns
WELCOME 1 1148928    RTT: 3172646 ns
WELCOME 1 1256448    RTT: 396004 ns
WELCOME 1 739328    RTT: 368938 ns
WELCOME 1 1689600    RTT: 393396 ns
WELCOME 1 774144    RTT: 1205124 ns
WELCOME 1 1135616    RTT: 415255 ns
WELCOME 1 1736704    RTT: 389020 ns
WELCOME 1 1037312    RTT: 368876 ns
WELCOME 1 726016    RTT: 1169887 ns
WELCOME 1 380928    RTT: 381030 ns
WELCOME 1 1589248    RTT: 385791 ns
WELCOME 1 1090560    RTT: 363681 ns
WELCOME 1 1478656    RTT: 385239 ns
WELCOME 1 1951744    RTT: 363249 ns
WELCOME 1 793600    RTT: 498880 ns
WELCOME 1 523264    RTT: 311965 ns
WELCOME 1 1984512    RTT: 375119 ns
WELCOME 1 1757184    RTT: 363758 ns
WELCOME 1 1568768    RTT: 377390 ns
WELCOME 1 1383424    RTT: 362326 ns
WELCOME 1 1948672    RTT: 381685 ns
WELCOME 1 1691648    RTT: 397018 ns
WELCOME 1 829440    RTT: 372879 ns
WELCOME 1 380928    RTT: 359198 ns
WELCOME 1 798720    RTT: 387846 ns
WELCOME 1 1604608    RTT: 357965 ns
WELCOME 1 855040    RTT: 374643 ns
WELCOME 1 547840    RTT: 355971 ns
WELCOME 1 1367040    RTT: 408622 ns
WELCOME 1 431104    RTT: 367240 ns
WELCOME 1 1312768    RTT: 374836 ns
WELCOME 1 1608704    RTT: 800946 ns
WELCOME 1 1438720    RTT: 393562 ns
WELCOME 1 1682432    RTT: 384649 ns
WELCOME 1 989184    RTT: 1432407 ns
WELCOME 1 385024    RTT: 378272 ns
WELCOME 1 1210368    RTT: 381101 ns
WELCOME 1 1392640    RTT: 362711 ns
WELCOME 1 380928    RTT: 384503 ns
WELCOME 1 672768    RTT: 360804 ns
WELCOME 1 307200    RTT: 390023 ns
WELCOME 1 1831936    RTT: 379114 ns
WELCOME 1 1837056    RTT: 906089 ns
WELCOME 2 1471488    RTT: 357797 ns
WELCOME 2 1277952    RTT: 391520 ns
WELCOME 2 1547264    RTT: 360602 ns
WELCOME 2 1693696    RTT: 398536 ns
WELCOME 2 845824    RTT: 380489 ns
WELCOME 2 1350656    RTT: 808303 ns
WELCOME 2 1123328    RTT: 377006 ns
WELCOME 2 634880    RTT: 401443 ns
WELCOME 2 482304    RTT: 372388 ns
WELCOME 2 1111040    RTT: 328292 ns
WELCOME 2 1897472    RTT: 367205 ns
WELCOME 2 621568    RTT: 379059 ns
WELCOME 2 892928    RTT: 371816 ns
WELCOME 2 1085440    RTT: 5935268 ns
WELCOME 2 1985536    RTT: 2285159 ns
WELCOME 2 831488    RTT: 813703 ns
WELCOME 2 934912    RTT: 388753 ns
WELCOME 2 701440    RTT: 385340 ns
